English Word;German Translation (Google Translate);Positive;Negative;Anger;Anticipation;Disgust;Fear;Joy;Sadness;Surprise;Trust
abundant;reichlich;1;0;0;0;0;0;1;0;0;0
abuse;Missbrauch;0;1;1;0;1;1;0;1;0;0
abutment;Angrenzung;0;0;0;0;0;0;0;0;0;0
aby;aby;0;0;0;0;0;0;0;0;0;0
abysmal;miserabel;0;1;0;0;0;0;0;1;0;0
abyss;Abgrund;0;1;0;0;0;1;0;1;0;0
academic;Wissenschaftler;1;0;0;0;0;0;0;0;0;1
academy;Akademie;1;0;0;0;0;0;0;0;0;0
accede;zustimmen;0;0;0;0;0;0;0;0;0;0
accelerate;beschleunigen;0;0;0;1;0;0;0;0;0;0
acceleration;Beschleunigung;0;0;0;0;0;0;0;0;0;0
accent;Akzent;0;0;0;0;0;0;0;0;0;0
accentuate;akzentuieren;0;0;0;0;0;0;0;0;0;0
accept;akzeptieren;0;0;0;0;0;0;0;0;0;0
acceptable;akzeptabel;1;0;0;0;0;0;0;0;0;0
acceptance;Akzeptanz;1;0;0;0;0;0;0;0;0;0
access;Zugriff;0;0;0;0;0;0;0;0;0;0
accessible;zug�nglich;1;0;0;0;0;0;0;0;0;0
accession;Beitritt;0;0;0;0;0;0;0;0;0;0
accessory;Zubeh�rteil;0;0;0;0;0;0;0;0;0;0
accident;Unfall;0;1;0;0;0;1;0;1;1;0
accidental;zuf�llig;0;1;0;0;0;1;0;0;1;0
accidentally;zuf�llig;0;0;0;0;0;0;0;0;1;0
accolade;Akkolade;1;0;0;1;0;0;1;0;1;1
accommodate;unterbringen;0;0;0;0;0;0;0;0;0;0
accommodation;Unterkunft;1;0;0;0;0;0;0;0;0;0
accompaniment;Begleitung;1;0;0;1;0;0;1;0;0;1
accompany;begleiten;0;0;0;0;0;0;0;0;0;0
accompanying;Begleitet;0;0;0;0;0;0;0;0;0;0
accomplice;Komplize;0;0;0;0;0;0;0;0;0;0
accomplish;erreichen;1;0;0;0;0;0;1;0;0;0
accomplished;durchgef�hrt;1;0;0;0;0;0;1;0;0;0
accomplishment;Leistung;1;0;0;0;0;0;0;0;0;0
accord;�bereinstimmung;1;0;0;0;0;0;0;0;0;1
accordance;�bereinstimmung;0;0;0;0;0;0;0;0;0;0
accordion;Akkordeon;0;0;0;0;0;0;0;0;0;0
account;Konto;0;0;0;0;0;0;0;0;0;1
accountability;Rechenschaftspflicht;1;0;0;0;0;0;0;0;0;1
accountable;verantwortlich;1;0;0;0;0;0;0;0;0;1
accountant;Buchhalter;0;0;0;0;0;0;0;0;0;1
accounting;Buchhaltung;0;0;0;0;0;0;0;0;0;0
accounts;Buchhaltung;0;0;0;0;0;0;0;0;0;1
accredited;akkreditiert;1;0;0;0;0;0;0;0;0;1
accretion;Anlagerung;0;0;0;0;0;0;0;0;0;0
accrue;erwachsen;0;0;0;0;0;0;0;0;0;0
accueil;accueil;1;0;0;0;0;0;0;0;0;0
accumulate;akkumulieren;0;0;0;0;0;0;0;0;0;0
accumulation;Anh�ufung;0;0;0;0;0;0;0;0;0;0
accuracy;Genauigkeit;0;0;0;0;0;0;0;0;0;0
accurate;richtig;1;0;0;0;0;0;0;0;0;1
accursed;verflucht;0;1;1;0;0;1;0;1;0;0
accusation;Anklage;0;1;1;0;1;0;0;0;0;0
accusative;Akkusativ;0;1;0;0;0;0;0;0;0;0
accused;angeklagt;0;1;1;0;0;1;0;0;0;0
accuser;Ankl�ger;0;1;1;0;0;1;0;0;0;0
accusing;anklagend;0;1;1;0;0;1;0;0;0;0
accustomed;gewohnt;0;0;0;0;0;0;0;0;0;0
ace;As;1;0;0;0;0;0;0;0;0;0
acetic;Essigs�ure;0;0;0;0;0;0;0;0;0;0
ache;Schmerz;0;1;0;0;0;0;0;1;0;0
achieve;erreichen;1;0;0;0;0;0;1;0;0;1
achievement;Leistung;1;0;0;1;0;0;1;0;0;1
aching;Schmerz;0;1;0;0;0;0;0;1;0;0
acid;S�ure;0;1;0;0;0;0;0;0;0;0
acidity;S�uregehalt;0;0;0;0;0;0;0;0;0;0
acknowledge;best�tigen;0;0;0;0;0;0;0;0;0;0
acknowledged;anerkannt;0;0;0;0;0;0;0;0;0;0
acknowledgment;Best�tigung;1;0;0;0;0;0;0;0;0;0
acme;H�hepunkt;0;0;0;0;0;0;0;0;0;0
acoustic;akustisch;0;0;0;0;0;0;0;0;0;0
acoustics;Akustik;0;0;0;0;0;0;0;0;0;0
acquaint;bekannt machen;0;0;0;0;0;0;0;0;0;0
acquaintance;Bekanntschaft;0;0;0;0;0;0;0;0;0;0
acquainted;bekannt;0;0;0;0;0;0;0;0;0;0
acquiescence;Einwilligung;0;0;0;0;0;0;0;0;0;0
acquire;erwerben;1;0;0;0;0;0;0;0;0;0
acquiring;Erwerb;1;0;0;1;0;0;0;0;0;0
acquisition;Erwerb;0;0;0;0;0;0;0;0;0;0
acquisitions;Akquisitionen;0;0;0;0;0;0;0;0;0;0
acreage;Anbaufl�che;0;0;0;0;0;0;0;0;0;0
acres;ha;0;0;0;0;0;0;0;0;0;0
acrobat;Akrobat;1;0;0;0;0;1;1;0;0;1
act;Handlung;0;0;0;0;0;0;0;0;0;0
acting;Schauspielkunst;0;0;0;0;0;0;0;0;0;0
action;Aktion;1;0;0;0;0;0;0;0;0;0
actionable;klagbar;0;1;1;0;1;0;0;0;0;0
active;aktiv;0;0;0;0;0;0;0;0;0;0
activity;Aktivit�t;0;0;0;0;0;0;0;0;0;0
actor;Schauspieler;0;0;0;0;0;0;0;0;0;0
actual;tats�chlich;1;0;0;0;0;0;0;0;0;0
actuality;Wirklichkeit;0;0;0;0;0;0;0;0;0;0
actuary;Aktuar;0;0;0;0;0;0;0;0;0;0
acuity;Scharfsinn;1;0;0;0;0;0;0;0;0;0
acumen;Scharfsinn;1;0;0;0;0;0;0;0;0;0
acupuncture;Akupunktur;0;0;0;0;0;0;0;0;0;0
acutely;intensiv;0;0;0;0;0;0;0;0;0;0
adage;Sprichwort;0;0;0;0;0;0;0;0;0;0
adamant;unnachgiebig;0;0;0;0;0;0;0;0;0;0
adapt;anpassen;1;0;0;0;0;0;0;0;0;0
adaptable;anpassungsf�hig;1;0;0;0;0;0;0;0;0;0
add;hinzuf�gen;0;0;0;0;0;0;0;0;0;0
added;zus�tzlich;0;0;0;0;0;0;0;0;0;0
addendum;Nachtrag;0;0;0;0;0;0;0;0;0;0
adder;Natter;0;1;1;0;1;1;0;1;0;0
addiction;Sucht;0;1;0;0;0;0;0;0;0;0
addition;Zusatz;0;0;0;0;0;0;0;0;0;0
additional;zus�tzlich;0;0;0;0;0;0;0;0;0;0
additive;Zusatzstoff;0;0;0;0;0;0;0;0;0;0
address;Adresse;0;0;0;0;0;0;0;0;0;0
addressee;Adressat;0;0;0;0;0;0;0;0;0;0
addresses;Adressen;1;0;0;1;0;0;0;0;0;0
adept;geschickt;1;0;0;0;0;0;0;0;0;0
adequacy;Angemessenheit;1;0;0;0;0;0;0;0;0;0
adequate;ausreichend;0;0;0;0;0;0;0;0;0;0
adhere;haften;0;0;0;0;0;0;0;0;0;0
adherence;Festhalten;0;0;0;0;0;0;0;0;0;0
adherent;Anh�nger;0;0;0;0;0;0;0;0;0;0
adhering;anhaftende;0;0;0;0;0;0;0;0;0;1
adhesion;Haftung;0;0;0;0;0;0;0;0;0;0
adhesive;Klebstoff;0;0;0;0;0;0;0;0;0;0
adieu;adieu;0;0;0;0;0;0;0;0;0;0
adipose;fett;0;1;0;0;0;0;0;0;0;0
adjacency;Nachbarschaft;0;0;0;0;0;0;0;0;0;0
adjacent;angrenzend;0;0;0;0;0;0;0;0;0;0
adjective;Adjektiv;0;0;0;0;0;0;0;0;0;0
adjoining;angrenzend;0;0;0;0;0;0;0;0;0;0
adjourn;vertagen;0;0;0;0;0;0;0;0;0;0
adjournment;Vertagung;0;0;0;0;0;0;0;0;0;0
adjudicate;entscheiden;0;1;0;0;0;1;0;0;0;0
adjudication;Entscheidung;0;0;0;0;0;0;0;0;0;0
adjunct;Zusatz;1;0;0;0;0;0;0;0;0;0
adjust;einstellen;0;0;0;0;0;0;0;0;0;0
adjustment;Einstellung;0;0;0;0;0;0;0;0;0;0
adjuvant;Adjuvans;0;0;0;0;0;0;0;0;0;0
administer;verwalten;0;0;0;0;0;0;0;0;0;0
administration;Verwaltung;0;0;0;0;0;0;0;0;0;0
administrative;administrativ;0;0;0;0;0;0;0;0;0;1
admirable;bewundernswert;1;0;0;0;0;0;1;0;0;1
admiral;Admiral;1;0;0;0;0;0;0;0;0;1
admiralty;Admiralit�t;0;0;0;0;0;0;0;0;0;0
admiration;Bewunderung;1;0;0;0;0;0;1;0;0;1
admire;bewundern;1;0;0;0;0;0;0;0;0;1
admirer;Bewunderer;1;0;0;0;0;0;0;0;0;0
admissibility;Zul�ssigkeit;0;0;0;0;0;0;0;0;0;0
admissible;zul�ssig;1;0;0;0;0;0;0;0;0;1
admission;Eintritt;0;0;0;0;0;0;0;0;0;0
admit;zugeben;0;0;0;0;0;0;0;0;0;0
admittance;Zulassung;0;0;0;0;0;0;0;0;0;0
admitted;zugelassen;0;0;0;0;0;0;0;0;0;0
admitting;zuzugeben;0;0;0;0;0;0;0;0;0;0
admixture;Beimischung;0;0;0;0;0;0;0;0;0;0
admonition;Ermahnung;0;1;0;0;0;1;0;0;0;0
ado;Aufheben;0;0;0;0;0;0;0;0;0;0
adobe;Lehmziegel;0;0;0;0;0;0;0;0;0;0
adolescence;Adoleszenz;0;0;0;0;0;0;0;0;0;0
adolescent;Jugendliche;0;0;0;0;0;0;0;0;0;0
adopt;adoptieren;0;0;0;0;0;0;0;0;0;0
adoption;Verabschiedung;0;0;0;0;0;0;0;0;0;0
adorable;bezaubernd;1;0;0;0;0;0;1;0;0;0
adoration;Anbetung;1;0;0;0;0;0;1;0;0;1
adore;verehren;1;0;0;1;0;0;1;0;0;1
adorn;schm�cken;0;0;0;0;0;0;0;0;0;0
adornment;Schmuck;0;0;0;0;0;0;0;0;0;0
adrift;treibend;0;1;0;1;0;1;0;1;0;0
adult;Erwachsene;0;0;0;0;0;0;0;0;0;0
adulterated;verf�lschten;0;1;0;0;0;0;0;0;0;0
adultery;Ehebruch;0;1;0;0;1;0;0;1;0;0
advance;voranbringen;1;0;0;1;0;1;1;0;1;0
advanced;fortgeschritten;1;0;0;0;0;0;0;0;0;0
advancement;Aufstieg;1;0;0;0;0;0;0;0;0;0
advancing;fort;0;0;0;0;0;0;0;0;0;0
advantage;Vorteil;1;0;0;0;0;0;0;0;0;0
advantageous;vorteilhaft;1;0;0;0;0;0;0;0;0;0
advent;Advent;1;0;0;1;0;0;1;0;0;1
adventure;Abenteuer;1;0;0;1;0;0;0;0;0;0
adventurer;Abenteurer;0;0;0;0;0;0;0;0;0;0
adventurous;abenteuerlich;1;0;0;0;0;0;0;0;0;0
adversary;Gegner;0;1;1;0;0;0;0;0;0;0
adverse;negativ;0;1;1;0;1;1;0;1;0;0
adversity;Ungl�ck;0;1;1;0;0;1;0;1;0;0
advertise;werben;0;0;0;0;0;0;0;0;0;0
advertisement;Anzeige;0;0;0;0;0;0;0;0;0;0
advice;Rat;0;0;0;0;0;0;0;0;0;1
advisable;empfehlenswert;1;0;0;0;0;0;0;0;0;1
advise;beraten;1;0;0;0;0;0;0;0;0;1
advised;empfohlen;0;0;0;0;0;0;0;0;0;1
advisement;Fachberatung;0;0;0;0;0;0;0;0;0;0
adviser;Berater;1;0;0;0;0;0;0;0;0;1
advocacy;Bef�rwortung;1;0;1;1;0;0;1;0;0;1
advocate;Bef�rworter;0;0;0;0;0;0;0;0;0;1
aegis;�gide;0;0;0;0;0;0;0;0;0;0
aeration;Bel�ftung;0;0;0;0;0;0;0;0;0;0
aerial;Antenne;0;0;0;0;0;0;0;0;0;0
aerodrome;Flugplatz;0;0;0;0;0;0;0;0;0;0
aerodynamics;Aerodynamik;0;0;0;0;0;0;0;0;0;0
aeronautics;Luftfahrt;0;0;0;0;0;0;0;0;0;0
aeroplane;Flugzeug;0;0;0;0;0;0;0;0;0;0
aesthetic;�sthetisch;1;0;0;0;0;0;0;0;0;0
aesthetics;�sthetik;1;0;0;0;0;0;1;0;0;0
aetiology;�tiologie;0;0;0;0;0;0;0;0;0;0
afar;fern;0;0;0;0;0;0;0;0;0;0
affable;umg�nglich;1;0;0;0;0;0;0;0;0;0
affair;Aff�re;0;0;0;0;0;0;0;0;0;0
affecting;beeinflussen;0;0;0;0;0;0;0;0;0;0
affection;Zuneigung;1;0;0;0;0;0;1;0;0;1
affections;Zuneigung;0;0;0;0;0;0;0;0;0;0
affiche;affiche;0;0;0;0;0;0;0;0;0;0
affidavit;eidesstattliche Versicherung;0;0;0;0;0;0;0;0;0;0
affiliated;angeschlossen;1;0;0;0;0;0;0;0;0;0
affiliation;Zugeh�rigkeit;0;0;0;0;0;0;0;0;0;0
affinity;Verwandtschaft;0;0;0;0;0;0;0;0;0;0
affirm;best�tigen;1;0;0;0;0;0;0;0;0;1
affirmation;Best�tigung;1;0;0;0;0;0;0;0;0;0
affirmative;best�tigend;1;0;0;0;0;0;0;0;0;0
affirmatively;bejahend;1;0;0;0;0;0;0;0;0;1
affix;anbringen;0;0;0;0;0;0;0;0;0;0
afflict;heimsuchen;0;1;0;0;0;1;0;1;0;0
afflicted;behaftet;0;1;0;0;0;0;0;0;0;0
affliction;Gebrechen;0;1;0;0;1;1;0;1;0;0
affluence;Wohlstand;1;0;0;0;0;0;1;0;0;0
affluent;wohlhabend;1;0;0;0;0;0;0;0;0;0
afford;gew�hren;1;0;0;0;0;0;0;0;0;0
affront;Beleidigung;0;1;1;0;1;1;0;1;1;0
afield;entfernt;0;0;0;0;0;0;0;0;0;0
afore;bevor;0;0;0;0;0;0;0;0;0;0
aforementioned;vorgenannten;0;0;0;0;0;0;0;0;0;0
aforesaid;oben erw�hnt;0;0;0;0;0;0;0;0;0;0
afraid;�ngstlich;0;1;0;0;0;1;0;0;0;0
afresh;von neuem;0;0;0;0;0;0;0;0;0;0
aft;achtern;0;0;0;0;0;0;0;0;0;0
aftermath;Nachwirkungen;0;1;1;0;1;1;0;1;0;0
afternoon;Nachmittag;0;0;0;0;0;0;0;0;0;0
aftertaste;Nachgeschmack;0;1;0;0;0;0;0;0;0;0
afterthought;Nachsatz;0;0;0;0;0;0;0;0;0;0
aga;aga;1;0;0;0;0;1;0;0;0;1
agate;ein Tor;0;0;0;0;0;0;0;0;0;0
age;Alter;0;0;0;0;0;0;0;0;0;0
aged;alt;0;0;0;0;0;0;0;0;0;0
agency;Agentur;0;0;0;0;0;0;0;0;0;0
agent;Agent;0;0;0;0;0;0;0;0;0;0
agglomeration;Anh�ufung;0;0;0;0;0;0;0;0;0;0
aggravated;versch�rft;0;1;1;0;0;0;0;0;0;0
aggravating;erschwerend;0;1;1;0;0;0;0;1;0;0
aggravation;Verschlimmerung;0;1;1;0;1;0;0;0;0;0
aggregate;Aggregat;0;0;0;0;0;0;0;0;0;0
aggregation;Anh�ufung;0;0;0;0;0;0;0;0;0;0
aggression;Aggression;0;1;1;0;0;1;0;0;0;0
aggressive;aggressiv;0;1;1;0;0;1;0;0;0;0
aggressor;Aggressor;0;1;1;0;0;1;0;0;0;0
aghast;entgeistert;0;1;0;0;1;1;0;0;1;0
agile;agil;1;0;0;0;0;0;0;0;0;0
agility;Beweglichkeit;1;0;0;0;0;0;0;0;0;0
agitated;aufgeregt;0;1;1;0;0;0;0;0;0;0
agitation;Agitation;0;1;1;0;0;0;0;0;0;0
agnostic;agnostisch;0;0;0;0;0;0;0;0;0;0
ago;vor;0;0;0;0;0;0;0;0;0;0
agonizing;qu�lend;0;1;0;0;0;1;0;0;0;0
agony;Qual;0;1;1;0;0;1;0;1;0;0
agree;zustimmen;1;0;0;0;0;0;0;0;0;0
agreeable;angenehm;1;0;0;0;0;0;0;0;0;1
agreed;vereinbart;1;0;0;0;0;0;0;0;0;1
agreeing;Vereinbarung;1;0;0;0;0;0;0;0;0;1
agreement;Vereinbarung;1;0;0;0;0;0;0;0;0;1
agricultural;landwirtschaftlich;0;0;0;0;0;0;0;0;0;0
agriculture;Landwirtschaft;1;0;0;0;0;0;0;0;0;0
aground;gestrandet;0;1;0;0;0;0;0;0;0;0
agua;agua;0;0;0;0;0;0;0;0;0;0
ahead;voraus;1;0;0;0;0;0;0;0;0;0
aid;Hilfe;1;0;0;0;0;0;0;0;0;0
aiding;Unterst�tzung;1;0;0;0;0;0;0;0;0;0
ail;kr�nkeln;0;1;0;0;0;0;0;1;0;0
ailing;kr�nklich;0;1;0;0;0;1;0;1;0;0
ailment;Leiden;0;0;0;0;0;0;0;0;0;0
aim;Ziel;0;0;0;0;0;0;0;0;0;0
aimless;ziellos;0;1;0;0;0;0;0;0;0;0
air;Luft;0;0;0;0;0;0;0;0;0;0
airbag;Airbag;0;0;0;0;0;0;0;0;0;0
airlift;Luftbr�cke;0;0;0;0;0;0;0;0;0;0
airline;Fluggesellschaft;0;0;0;0;0;0;0;0;0;0
airman;Flieger;0;0;0;0;0;0;0;0;0;0
airplane;Flugzeug;0;0;0;0;0;0;0;0;0;0
airport;Flughafen;0;0;0;1;0;0;0;0;0;0
airs;Airs;0;1;0;0;1;0;0;0;0;0
airship;Luftschiff;0;0;0;0;0;0;0;0;0;0
aisle;Gang;0;0;0;0;0;0;0;0;0;0
ait;ait;0;0;0;0;0;0;0;0;0;0
ajar;angelehnt;0;0;0;0;0;0;0;0;0;0
akin;�hnlich;0;0;0;0;0;0;0;0;0;1
alabaster;Alabaster;1;0;0;0;0;0;0;0;0;0
alarm;Alarm;0;1;0;0;0;1;0;0;1;0
alarming;alarmierend;0;1;0;0;0;1;0;0;1;0
alb;Alba;0;0;0;0;0;0;0;0;0;1
album;Album;0;0;0;0;0;0;0;0;0;0
alchemy;Alchimie;0;0;0;0;0;0;0;0;0;0
alcohol;Alkohol;0;0;0;0;0;0;0;0;0;0
alcoholism;Alkoholismus;0;1;1;0;1;1;0;1;0;0
alcove;Alkoven;0;0;0;0;0;0;0;0;0;0
alert;Alarm;0;0;0;0;0;0;0;0;0;0
alertness;Wachsamkeit;1;0;0;1;0;1;0;0;1;0
alerts;Benachrichtigung;0;0;0;1;0;1;0;0;1;0
alfalfa;Luzerne;0;0;0;0;0;0;0;0;0;0
algebra;Algebra;0;0;0;0;0;0;0;0;0;0
algebraic;algebraisch;0;0;0;0;0;0;0;0;0;0
algorithm;Algorithmus;0;0;0;0;0;0;0;0;0;0
alibi;Alibi;0;0;0;0;0;0;0;0;0;0
alien;Ausl�nder;0;1;0;0;1;1;0;0;0;0
alienate;entfremden;0;1;1;0;1;0;0;0;0;0
alienated;entfremdet;0;1;0;0;0;0;0;1;0;0
alienation;Entfremdung;0;1;1;0;1;1;0;1;0;0
alight;ein Licht;0;0;0;0;0;0;0;0;0;0
aligned;ausgerichtet;0;0;0;0;0;0;0;0;0;0
alignment;Ausrichtung;0;0;0;0;0;0;0;0;0;0
alike;gleich;0;0;0;0;0;0;0;0;0;0
alimentation;Ern�hrung;1;0;0;0;0;0;0;0;0;0
alimony;Alimente;0;1;0;0;0;0;0;0;0;0
aliquot;aliquoten;0;0;0;0;0;0;0;0;0;0
alive;lebendig;1;0;0;1;0;0;1;0;0;1
alkali;Alkali;0;0;0;0;0;0;0;0;0;0
alkaloids;Alkaloide;0;0;0;0;0;0;0;0;0;0
allay;zerstreuen;1;0;0;0;0;0;0;0;0;0
allegation;Behauptung;0;1;1;0;0;0;0;0;0;0
allege;behaupten;0;1;0;0;0;0;0;0;0;0
alleged;angeblich;0;0;0;0;0;0;0;0;0;0
allegiance;Treue;1;0;0;0;0;0;0;0;0;1
allegorical;allegorisch;0;0;0;0;0;0;0;0;0;0
allegory;Allegorie;0;0;0;0;0;0;0;0;0;0
allegro;allegro;1;0;0;0;0;0;0;0;0;0
alleviate;lindern;1;0;0;0;0;0;0;0;0;0
alleviation;Linderung;1;0;0;0;0;0;0;0;0;0
alley;Gasse;0;0;0;0;0;0;0;0;0;0
alliance;Allianz;0;0;0;0;0;0;0;0;0;1
allied;verb�ndet;1;0;0;0;0;0;0;0;0;1
alligator;Alligator;0;0;0;0;0;0;0;0;0;0
allocate;vergeben;0;0;0;0;0;0;0;0;0;0
allocation;Zuteilung;0;0;0;0;0;0;0;0;0;0
allot;zuteilen;0;0;0;0;0;0;0;0;0;0
allotment;Zuteilung;0;0;0;0;0;0;0;0;0;0
allowable;zul�ssig;1;0;0;0;0;0;0;0;0;0
allowance;Freibetrag;0;0;0;0;0;0;0;0;0;0
allowed;erlaubt;0;0;0;0;0;0;0;0;0;0
alloy;Legierung;0;0;0;0;0;0;0;0;0;0
allure;Verlockung;1;0;0;1;0;0;1;0;1;0
alluring;verf�hrerisch;1;0;0;0;0;0;0;0;0;0
allusion;Anspielung;0;0;0;0;0;0;0;0;0;0
alluvial;angeschwemmt;0;0;0;0;0;0;0;0;0;0
ally;Verb�ndete;1;0;0;0;0;0;0;0;0;1
almanac;Almanach;0;0;0;0;0;0;0;0;0;0
almighty;allm�chtig;1;0;0;0;0;0;0;0;0;0
aloft;empor;0;0;0;0;0;0;0;0;0;0
aloha;aloha;1;0;0;1;0;0;1;0;0;0
alongside;neben;0;0;0;0;0;0;0;0;0;0
aloof;distanziert;0;1;0;0;0;0;0;0;0;0
aloud;laut;0;0;0;0;0;0;0;0;0;0
alphabet;Alphabet;0;0;0;0;0;0;0;0;0;0
alphabetical;alphabetisch;0;0;0;0;0;0;0;0;0;0
altar;Altar;0;0;0;0;0;0;0;0;0;0
alter;�ndern;0;0;0;0;0;0;0;0;0;0
alteration;Ver�nderung;0;0;0;0;0;0;0;0;0;0
altercation;Auseinandersetzung;0;1;1;0;0;0;0;0;0;0
altered;ver�ndert;0;0;0;0;0;0;0;0;0;0
alternate;wechseln;0;0;0;0;0;0;0;0;0;0
alternative;Alternative;0;0;0;0;0;0;0;0;0;0
altitude;H�he;0;0;0;0;0;0;0;0;0;0
alto;Alt;0;0;0;0;0;0;0;0;0;0
altogether;insgesamt;0;0;0;0;0;0;0;0;0;0
alumnus;ehemaliger Student;0;0;0;0;0;0;0;0;0;0
alveolar;alveolar;0;0;0;0;0;0;0;0;0;0
amalgam;Amalgam;0;0;0;0;0;0;0;0;0;0
amalgamation;Zusammenschluss;0;0;0;0;0;0;0;0;0;0
amass;anh�ufen;0;0;0;0;0;0;0;0;0;0
amateur;Amateur;0;0;0;0;0;0;0;0;0;0
amaze;verbl�ffen;0;0;0;0;0;0;0;0;1;0
amazement;Staunen;0;0;0;0;0;0;0;0;0;0
amazingly;erstaunlich;1;0;0;0;0;0;1;0;1;0
ambassador;Botschafter;1;0;0;0;0;0;0;0;0;1
amber;Bernstein;0;0;0;0;0;0;0;0;0;0
ambient;Umgebungs-;0;0;0;0;0;0;0;0;0;0
ambiguity;Mehrdeutigkeit;0;0;0;0;0;0;0;0;0;0
ambiguous;zweideutig;0;1;0;0;0;0;0;0;0;0
ambit;Bereich;0;0;0;0;0;0;0;0;0;0
ambition;Ehrgeiz;1;0;0;1;0;0;1;0;0;1
ambitious;ehrgeizig;0;0;0;0;0;0;0;0;0;0
ambulance;Ambulanz;0;0;0;0;0;1;0;0;0;1
ambush;Hinterhalt;0;1;1;0;0;1;0;0;1;0
ameliorate;verbessern;1;0;0;0;0;0;0;0;0;0
amen;amen;1;0;0;0;0;0;1;0;0;1
amenable;zug�nglich;1;0;0;0;0;0;0;0;0;0
amend;�ndern;1;0;0;0;0;0;0;0;0;0
amendment;�nderung;0;0;0;0;0;0;0;0;0;0
amends;Entsch�digung;1;0;0;0;0;0;0;0;0;0
amenity;Annehmlichkeit;1;0;0;0;0;0;0;0;0;0
amethyst;Amethyst;0;0;0;0;0;0;0;0;0;0
amiable;liebensw�rdig;1;0;0;0;0;0;0;0;0;0
amicable;g�tlich;1;0;0;0;0;0;1;0;0;0
